Age,Length,Weight,FCR (Cumulative),FCR (Marginal)
va,vl,vw,vfc,vfm
0,0,0,0,0
1,45.21703058,0.977406065,6.757037735,11.17000471
2,79.07528419,6.000460073,126.8054961,34.14487828
3,104.4281506,14.80183303,545.4068196,59.53565069
4,123.4122319,25.45868877,1309.96895,83.13750967
5,137.6274032,36.27091289,2320.795337,103.3833018
6,148.2716421,46.19562593,3430.506309,119.9856775
7,156.2419873,54.7558606,4514.899245,133.2261554
8,162.2101361,61.84267941,5496.072533,143.5939689
9,166.6790518,67.54756146,6338.258077,151.611549
10,170.0253502,72.05061098,7034.867573,157.7576035
11,172.5310394,75.55549008,7596.018865,162.4396516
12,174.407285,78.25592118,8039.480944,165.9903511
13,175.8122071,80.32119532,8385.072607,168.6742183
14,176.8642046,81.89213709,8651.641552,170.6979693
15,177.6519344,83.0822784,8855.703548,172.2212407
16,178.2417819,83.98124759,9011.040172,173.366286
17,178.6834564,84.65878157,9128.793174,174.2261723
18,179.0141797,85.16858498,9217.778813,174.8714425
19,179.2618234,85.55171095,9284.869339,175.3553977
20,179.4472576,85.83937317,9335.364658,175.7182183
21,179.5861096,86.05521073,9373.3206,175.9901416
22,179.6900813,86.21707434,9401.823492,176.1938939
23,179.7679346,86.33841474,9423.212191,176.3465396
24,179.8262308,86.42935107,9439.253698,176.460883
25,179.8698826,86.49748706,9451.279952,176.546527
26,179.9025688,86.54853123,9460.29326,176.6106703
27,179.9270441,86.58676645,9467.046927,176.6587081
28,179.945371,86.61540442,9472.106589,176.6946828
29,179.9590941,86.63685266,9475.896668,176.7216228
30,179.9693699,86.65291538,9478.73546,176.7417967
