"","a","aw_aq","aw_fi"
"1",0,NA,0.0424773386662255
"2",1,1.31898541646226,0.585477051154029
"3",2,8.29658006150798,1.9974072026925
"4",3,20.6268841875036,4.28235820262749
"5",4,35.6110046218119,7.27290565650726
"6",5,50.843096012915,10.748026340572
"7",6,64.8411561491931,14.493357902016
"8",7,76.9237685840456,18.3276106970103
"9",8,86.9317270112705,22.1104736109414
"10",9,94.9909429093816,25.7411998135889
"11",10,101.353922349462,29.153116982739
"12",11,106.307332348282,32.3069063649772
"13",12,110.124318857665,35.184083923177
"14",13,113.043805302643,37.7813161540138
"15",14,115.264655281483,40.1057689583416
"16",15,116.947252375353,42.1714679938003
