"","t","c","r","p0","w0","n0","h","r0","r1","rround0","rt1"
"1",1,762265.339607829,2598297.15508453,6517.41561664135,0.971513617267012,82219.6991352629,0,2598297.15508453,7942154.62139771,6.31483851223558,846199.297371684
"2",2,1338000,1886199.29737168,10156.833588385,3.56684197141324,44857.6082939289,0,1040000,12088107.9089937,1040000,1270340.31598515
"3",3,1338000,2310340.31598515,13835.0379545603,8.0040833854642,19989.7967443177,0,1040000,15167270.422257,1040000,764888.282432177
"4",4,1338000,1804888.28243218,17690.93170489,14.0312145610097,11403.1468412301,0,1040000,18096045.2526354,1040000,517524.246044222
"5",5,1338000,1557524.24604422,21358.5018691588,21.2256852576619,7538.03696124462,0,1040000,20810209.927463,1040000,373432.497109504
"6",6,1338000,1413432.4971095,24757.3255954005,29.1385726603286,5491.00334683983,0,1040000,23281338.3948271,1040000,280391.16691319
"7",7,1338000,1320391.16691319,27851.8062447745,37.3682149245903,4281.7137592171,0,1040000,25502794.3700249,1040000,216131.472110055
"8",8,1338000,1256131.47211006,30633.6335028363,45.5899289412009,3509.54703628423,0,1040000,27481004.1632826,1040000,169619.64919505
"9",9,1338000,1209619.64919505,33110.8547426399,53.5610662920084,2987.24448702532,0,1040000,29229895.316312,1040000,134784.095254083
"10",10,1338000,1174784.09525408,35300.9107848026,61.1137226154486,2618.06993834728,0,1040000,30767325.6364516,1040000,108014.131150549
